Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_3E4_3uL_  Qty or ID	Standard	1	0.2167	25.82	3.00e+004	0.996	-3.585	
A2	01_3E4_3uL_  Qty or ID	Standard	1	0.2167	25.95	3.00e+004	0.996	-3.585	
A3	01_3E4_3uL_  Qty or ID	Standard	1	0.2167	25.77	3.00e+004	0.996	-3.585	
B1	02_3E3_3uL_  Qty or ID	Standard	2	0.2167	29.74	3.00e+003	0.996	-3.585	
B2	02_3E3_3uL_  Qty or ID	Standard	2	0.2167	29.67	3.00e+003	0.996	-3.585	
B3	02_3E3_3uL_  Qty or ID	Standard	2	0.2167	29.47	3.00e+003	0.996	-3.585	
C1	03_3E2_3uL_  Qty or ID	Standard	3	0.2167	32.78	3.00e+002	0.996	-3.585	
C2	03_3E2_3uL_  Qty or ID	Standard	3	0.2167	32.97	3.00e+002	0.996	-3.585	
C3	03_3E2_3uL_  Qty or ID	Standard	3	0.2167	32.95	3.00e+002	0.996	-3.585	
D1	04_3E1_3uL_  Qty or ID	Standard	4	0.2167	36.87	3.00e+001	0.996	-3.585	
D2	04_3E1_3uL_  Qty or ID	Standard	4	0.2167	36.28	3.00e+001	0.996	-3.585	
D3	04_3E1_3uL_  Qty or ID	Standard	4	0.2167	36.54	3.00e+001	0.996	-3.585	
E1	05_3E0_3uL_  Qty or ID	Standard	5	0.2167	39.66	3.00e+000	0.996	-3.585	
E2	05_3E0_3uL_  Qty or ID	Standard	5	0.2167	41.04	3.00e+000	0.996	-3.585	
E3	05_3E0_3uL_  Qty or ID	Standard	5	0.2167	No Ct	No Ct	0.996	-3.585	
F1	06_3E-1_3uL_  Qty or ID	Standard	6	0.2167	No Ct	No Ct	0.996	-3.585	
F2	06_3E-1_3uL_  Qty or ID	Standard	6	0.2167	No Ct	No Ct	0.996	-3.585	
F3	06_3E-1_3uL_  Qty or ID	Standard	6	0.2167	No Ct	No Ct	0.996	-3.585	
G1	07_3E-2_3uL_  Qty or ID	Standard	7	0.2167	No Ct	No Ct	0.996	-3.585	
G2	07_3E-2_3uL_  Qty or ID	Standard	7	0.2167	No Ct	No Ct	0.996	-3.585	
G3	07_3E-2_3uL_  Qty or ID	Standard	7	0.2167	No Ct	No Ct	0.996	-3.585	
H1	08_NTC_3uL_  Qty or ID	NTC	8	0.2167	No Ct	No Ct	0.996	-3.585	
H2	08_NTC_3uL_  Qty or ID	NTC	8	0.2167	No Ct	No Ct	0.996	-3.585	
H3	08_NTC_3uL_  Qty or ID	NTC	8	0.2167	No Ct	No Ct	0.996	-3.585	
A4	09_FNE009_3uL_  Qty or ID	Unknown	9	0.2167	No Ct	No Ct	0.996	-3.585	
A5	09_FNE009_3uL_  Qty or ID	Unknown	9	0.2167	No Ct	No Ct	0.996	-3.585	
A6	09_FNE009_3uL_  Qty or ID	Unknown	9	0.2167	No Ct	No Ct	0.996	-3.585	
B4	10_FNE010_3uL_  Qty or ID	Unknown	10	0.2167	No Ct	No Ct	0.996	-3.585	
B5	10_FNE010_3uL_  Qty or ID	Unknown	10	0.2167	No Ct	No Ct	0.996	-3.585	
B6	10_FNE010_3uL_  Qty or ID	Unknown	10	0.2167	40.94	1.89	0.996	-3.585	
C4	11_FNE011_3uL_  Qty or ID	Unknown	11	0.2167	No Ct	No Ct	0.996	-3.585	
C5	11_FNE011_3uL_  Qty or ID	Unknown	11	0.2167	No Ct	No Ct	0.996	-3.585	
C6	11_FNE011_3uL_  Qty or ID	Unknown	11	0.2167	No Ct	No Ct	0.996	-3.585	
D4	12_FNE012_3uL_  Qty or ID	Unknown	12	0.2167	No Ct	No Ct	0.996	-3.585	
D5	12_FNE012_3uL_  Qty or ID	Unknown	12	0.2167	No Ct	No Ct	0.996	-3.585	
D6	12_FNE012_3uL_  Qty or ID	Unknown	12	0.2167	No Ct	No Ct	0.996	-3.585	
E4	13_FNE013_3uL_  Qty or ID	Unknown	13	0.2167	No Ct	No Ct	0.996	-3.585	
E5	13_FNE013_3uL_  Qty or ID	Unknown	13	0.2167	No Ct	No Ct	0.996	-3.585	
E6	13_FNE013_3uL_  Qty or ID	Unknown	13	0.2167	No Ct	No Ct	0.996	-3.585	
F4	14_FNE014_3uL_  Qty or ID	Unknown	14	0.2167	No Ct	No Ct	0.996	-3.585	
F5	14_FNE014_3uL_  Qty or ID	Unknown	14	0.2167	No Ct	No Ct	0.996	-3.585	
F6	14_FNE014_3uL_  Qty or ID	Unknown	14	0.2167	No Ct	No Ct	0.996	-3.585	
G4	15_FNE015_3uL_  Qty or ID	Unknown	15	0.2167	No Ct	No Ct	0.996	-3.585	
G5	15_FNE015_3uL_  Qty or ID	Unknown	15	0.2167	46.64	4.860e-002	0.996	-3.585	
G6	15_FNE015_3uL_  Qty or ID	Unknown	15	0.2167	No Ct	No Ct	0.996	-3.585	
H4	16_FNE016_3uL_  Qty or ID	Unknown	16	0.2167	24.22	8.688e+004	0.996	-3.585	
H5	16_FNE016_3uL_  Qty or ID	Unknown	16	0.2167	24.82	5.901e+004	0.996	-3.585	
H6	16_FNE016_3uL_  Qty or ID	Unknown	16	0.2167	24.90	5.639e+004	0.996	-3.585	
